sentence1,sentence2,label
A man is eating pizza,A man is eating food,0
A woman is playing guitar,A man is playing piano,2
Two dogs are running in the park,Animals are playing outside,0
The cat is sleeping on the couch,A feline is resting on furniture,0
A person is driving a car,Someone is operating a vehicle,0
Children are playing soccer,Kids are engaged in a sport,0
The restaurant is empty,There are no customers in the restaurant,0
A woman is reading a book,A woman is cooking dinner,2
The sun is shining brightly,It is a sunny day,0
A man is swimming in the pool,A person is in the water,0
The store is closed,The shop is open for business,2
A child is drawing a picture,A kid is creating artwork,0
