anchor,positive
What is machine learning?,Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.
How does photosynthesis work?,Photosynthesis is the process by which plants convert sunlight into chemical energy stored in glucose.
What is the capital of France?,Paris is the capital and largest city of France located on the Seine River.
Explain quantum computing,Quantum computing uses quantum bits or qubits that can exist in multiple states simultaneously enabling faster computation for certain problems.
What causes earthquakes?,Earthquakes occur when tectonic plates beneath the Earth surface suddenly slip past one another releasing energy as seismic waves.
How do vaccines work?,Vaccines train the immune system to recognize and fight pathogens by introducing a weakened or inactive form of the pathogen.
What is blockchain technology?,Blockchain is a distributed ledger technology that records transactions across multiple computers ensuring transparency and security.
Explain the theory of relativity,Einstein theory of relativity describes how space and time are interconnected and how gravity affects the fabric of spacetime.
What is DNA?,DNA or deoxyribonucleic acid is a molecule that carries genetic instructions for the development and functioning of living organisms.
How does the internet work?,The internet is a global network of computers that communicate using standardized protocols to share information and resources.
