sentence1,sentence2,score
A man is playing a guitar,A person is playing a musical instrument,0.85
The cat is sleeping peacefully,A feline is resting quietly,0.92
A woman is cooking in the kitchen,Someone is preparing food,0.78
The children are playing soccer,Kids are playing football,0.88
A dog is running through the park,A canine is jogging in the garden,0.75
The sun is setting over the ocean,The sun is rising over the mountains,0.35
A man is reading a newspaper,A woman is watching television,0.15
The car is parked in the driveway,The vehicle is in the garage,0.65
Students are studying in the library,People are reading books quietly,0.70
The plane is taking off,The aircraft is landing,0.40
A chef is preparing a gourmet meal,A cook is making dinner,0.80
The baby is crying loudly,The infant is sleeping soundly,0.20
Two friends are having coffee,People are drinking tea together,0.60
The storm is approaching the coast,Bad weather is coming,0.72
An artist is painting a landscape,A painter is creating artwork,0.88
The phone is ringing,Someone is calling,0.75
A scientist is conducting research,A researcher is doing experiments,0.82
The movie was exciting,The film was boring,0.25
Traffic is heavy on the highway,Roads are congested,0.78
The garden is full of flowers,The yard has many plants,0.68
